timestamp,cluster,warehouses,duration_seconds,git_branch,run_type,metric_value,metric_name
2025-05-20 01:04:58,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154154,tpmC
2025-05-20 01:26:39,perf3,16000,7200,origin/main,default,97,newOrderLatency90
2025-05-20 01:26:39,perf3,16000,7200,origin/main,default,204960,tpmC
2025-05-20 04:04:03,perf3,12000,1800,origin/main,latency,154163,tpmC
2025-05-20 04:04:03,perf3,12000,1800,origin/main,latency,43,newOrderLatency90
2025-05-20 04:50:04,perf9,16000,7200,origin/stable-25-1-1,default_oltp_sink_on,87,newOrderLatency90
2025-05-20 04:50:04,perf9,16000,7200,origin/stable-25-1-1,default_oltp_sink_on,205089,tpmC
2025-05-20 08:46:39,perf2,16000,7200,origin/main,default,205037,tpmC
2025-05-20 08:46:39,perf2,16000,7200,origin/main,default,172,newOrderLatency90
2025-05-20 08:46:44,perf3,16000,7200,origin/stable-25-1,default,205211,tpmC
2025-05-20 08:46:44,perf3,16000,7200,origin/stable-25-1,default,77,newOrderLatency90
2025-05-20 08:54:01,perf9,16000,7200,origin/main,default_oltp_sink_on,205298,tpmC
2025-05-20 08:54:01,perf9,16000,7200,origin/main,default_oltp_sink_on,72,newOrderLatency90
2025-05-20 10:39:31,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154261,tpmC
2025-05-20 10:39:31,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,40,newOrderLatency90
2025-05-20 10:59:11,perf2,12000,1800,origin/main,latency,112,newOrderLatency90
2025-05-20 10:59:11,perf2,12000,1800,origin/main,latency,153939,tpmC
2025-05-20 10:59:17,perf3,12000,1800,origin/stable-25-1,latency,40,newOrderLatency90
2025-05-20 10:59:17,perf3,12000,1800,origin/stable-25-1,latency,154150,tpmC
2025-05-20 11:22:51,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-20 11:22:51,perf7,5000,3600,origin/main,default,64292,tpmC
2025-05-20 11:34:29,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,45,newOrderLatency90
2025-05-20 11:34:29,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154003,tpmC
2025-05-20 12:32:55,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,153984,tpmC
2025-05-20 12:32:55,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,57,newOrderLatency90
